item,size,place,observed_on,date_source,median,n
bacon cheeseburger,,Gott's Napa,2015-11-23,wayback,9.99,1
bacon cheeseburger,,Gott's Napa,2017-07-22,wayback,10.49,1
bacon cheeseburger,,Gott's Napa,2021-01-17,wayback,10.99,1
bacon dog,,Five Guys,2023-11-27,exif,6.55,1
bacon double smashed jack combo,,Jack in the Box,2025-08-11,exif,10.59,4
bacon egg,,Bistro Don Giovanni,2023-04-01,wayback,26.0,1
bacon mcdouble,,McDonald's,2022-04-16,exif,4.15,1
bacon onion,,Bistro Don Giovanni,2022-01-20,wayback,23.0,1
bacon swiss buttery smashed jack combo,,Jack in the Box,2025-08-11,exif,10.49,2
bad apple,,Angele Restaurant & Bar,2015-03-05,wayback,12.0,1
bad apple,,Bistro Don Giovanni,2022-01-20,wayback,15.0,1
badia a coltibuono vin santo chianti toscana,,Bistro Don Giovanni,2022-01-20,wayback,16.0,1
badia a coltibuono vin santo chianti toscana,,Bistro Don Giovanni,2022-05-27,wayback,16.0,1
badia a coltibuono vin santo chianti toscana,,Bistro Don Giovanni,2023-04-01,wayback,16.0,1
badia coltibuono vin santo,,Bistro Don Giovanni,2023-12-05,wayback,16.0,2
bag of fries,,Barney's Burgers,2024-01-15,dom,8.79,1
bag of fries,,Barney's Burgers,2026-08-05,web,10.5,1
bagel cream cheese,,Code 4 Taphouse,2025-11-15,exif,11.5,2
baguette sandwich with french brie and figs little gem lettuces,,Angele Restaurant & Bar,2015-11-06,wayback,17.0,1
baguette sandwich with mortadella stonefruit arugula parmesan whole grain mustard french fries,,Angele Restaurant & Bar,2015-11-06,wayback,17.0,1
baja fish tacos,,Gott's Napa,2021-01-17,wayback,13.99,1
baked ham,,Genova Delicatessen,2026-08-05,fallback,12.95,1
baked turkey,,Genova Delicatessen,2026-08-05,fallback,12.95,1
ballast point sculpin ipa,,Gott's Napa,2014-12-22,wayback,6.0,1
ballast point sculpin ipa,,Gott's Napa,2015-05-13,wayback,6.0,1
ballast point sculpin ipa,,Gott's Napa,2015-07-24,wayback,6.0,1
ballast point sculpin ipa,,Gott's Napa,2017-07-22,wayback,7.0,1
ballast point sculpin ipa,,Gott's Napa,2021-01-17,wayback,8.0,1
ballast point sculpin ipa,12oz,Gott's Napa,2014-08-11,wayback,4.5,2
ballast point sculpin ipa,12oz,Gott's Napa,2015-02-06,wayback,6.0,2
ballast point sculpin ipa,12oz,Gott's Napa,2015-05-13,wayback,6.0,1
ballast point sculpin ipa,12oz,Gott's Napa,2015-11-23,wayback,6.0,1
ballast point sculpin ipa,Canned (12oz),Gott's Napa,2014-12-22,wayback,6.0,1
balvenie 12 yr,,Angele Restaurant & Bar,2014-09-20,wayback,12.0,1
bambini,,Bistro Don Giovanni,2017-01-10,wayback,17.0,1
bambini,,Bistro Don Giovanni,2019-09-19,wayback,19.0,1
bambini,,Bistro Don Giovanni,2020-03-27,wayback,19.0,1
bambini,,Bistro Don Giovanni,2020-09-21,wayback,20.0,2
bambini,,Bistro Don Giovanni,2021-01-27,wayback,22.0,1
bambini,,Bistro Don Giovanni,2022-01-20,wayback,24.0,1
bambini,,Bistro Don Giovanni,2022-05-27,wayback,24.0,1
bambini,,Bistro Don Giovanni,2023-04-01,wayback,25.0,1
bambini,,Bistro Don Giovanni,2023-12-05,wayback,25.0,2
banana,,Five Guys,2023-11-27,exif,0.9,1
banana pecan caramel french toast,,The Depot Eatery,2026-08-05,web,18.0,1
bandit 10 pinot grigio california,Bottle,Gott's Napa,2011-03-22,wayback,18.0,1
bandit 10 pinot grigio california,Bottle,Gott's Napa,2012-05-15,wayback,18.0,2
bandit 10 pinot grigio california,Glass,Gott's Napa,2011-03-22,wayback,5.0,1
bandit 10 pinot grigio california,Glass,Gott's Napa,2012-05-15,wayback,5.0,2
bar b que sauce,,Five Guys,2023-11-27,exif,0.6,1
barbecue bacon,,Barney's Burgers,2024-01-15,dom,10.99,1
barrel brothers amber lager,,Bistro Don Giovanni,2020-09-21,wayback,9.0,1
barrel brothers por qu no amber lager,,Bistro Don Giovanni,2019-09-19,wayback,8.0,1
barrel brothers por qu no amber lager,,Bistro Don Giovanni,2020-03-27,wayback,8.0,1
barrel brothers por qu no amber lager,,Bistro Don Giovanni,2020-09-21,wayback,9.0,1
barrel brothers por qu no amber lager,,Bistro Don Giovanni,2021-01-27,wayback,9.0,1
barrel brothers por qu no amber lager,,Bistro Don Giovanni,2022-01-20,wayback,9.0,1
barrel brothers por qu no amber lager,,Bistro Don Giovanni,2022-05-27,wayback,9.0,1
barrel brothers por qu no amber lager,,Bistro Don Giovanni,2023-04-01,wayback,9.0,1
barrel brothers por qu no amber lager,,Bistro Don Giovanni,2023-12-05,wayback,9.0,2
basil turkey sandwich,,The Depot Eatery,2026-08-05,web,19.0,1
bbq bacon cheese,,Barney's Burgers,2026-08-05,web,9.45,1
bbq chicken,,Barney's Burgers,2024-01-15,dom,8.99,1
bbq chicken,,Barney's Burgers,2026-08-05,web,8.75,1
bbq chicken,,Gott's Napa,2012-06-17,wayback,10.99,2
bbq chicken,,Gott's Napa,2014-10-29,wayback,10.99,1
bear republic racer 5 india pale ale healdsburg ca,,Angele Restaurant & Bar,2015-03-05,wayback,5.0,1
beck s premier light st louis mo,,Angele Restaurant & Bar,2015-03-05,wayback,5.0,1
bedrock zinfandel,Bottle,Gott's Napa,2015-02-06,wayback,27.0,1
bedrock zinfandel,Glass,Gott's Napa,2015-02-06,wayback,9.0,1
bedrock zinfandel california,,Gott's Napa,2015-02-06,wayback,9.0,1
bedrock zinfandel california,,Gott's Napa,2015-05-13,wayback,9.0,1
bedrock zinfandel california,Bottle,Gott's Napa,2015-02-06,wayback,27.0,1
bedrock zinfandel california,Bottle,Gott's Napa,2015-05-13,wayback,27.0,2
bedrock zinfandel california,Glass,Gott's Napa,2015-05-13,wayback,9.0,1
bee s knees,,Angele Restaurant & Bar,2014-09-20,wayback,12.0,1
beef tartare,,Perez Kitchen & Bar,2026-08-05,pdf,28.0,1
beet haricot verts,,Bistro Don Giovanni,2017-01-10,wayback,14.0,1
beet haricot verts,,Bistro Don Giovanni,2019-09-19,wayback,15.0,1
beet haricot verts,,Bistro Don Giovanni,2020-03-27,wayback,15.0,1
beet haricot verts,,Bistro Don Giovanni,2020-09-21,wayback,15.0,2
beet haricot verts,,Bistro Don Giovanni,2021-01-27,wayback,16.0,1
beet haricot verts,,Bistro Don Giovanni,2022-01-20,wayback,17.0,1
beet haricot verts,,Bistro Don Giovanni,2022-05-27,wayback,17.0,1
beet haricot verts,,Bistro Don Giovanni,2023-04-01,wayback,18.0,1
beet haricot verts,,Bistro Don Giovanni,2023-12-05,wayback,18.0,2
beet salad burrata cheese baby garden greens red wine beet vinaigrette orange oil,,Angele Restaurant & Bar,2016-04-12,wayback,16.0,1
beet salad burrata cheese baby garden greens red wine beet vinaigrette orange oil,,Angele Restaurant & Bar,2016-05-08,wayback,16.0,1
belgian waffle,,The Depot Eatery,2026-08-05,web,8.0,1
bella union by far niente cabernet sauvignon,,Bistro Don Giovanni,2020-03-27,wayback,20.0,1
